CGD:DEHA2E10384g	DEHA2E10384g	GO:0016887|GO:0015662|GO:0019829|GO:0043709|GO:0006487|GO:0000128|GO:0009405|GO:0005886|GO:0006874|GO:0031505|GO:0000166|GO:0006812|GO:0046872|GO:0044011|GO:0016021
CGD:DEHA2B16456g	DEHA2B16456g	GO:0035672|GO:0035673|GO:0055085|GO:0019740
CGD:DEHA2D13948g	DEHA2D13948g	GO:0030447|GO:0003735|GO:0036180|GO:0071216|GO:0036170|GO:0009267|GO:0005840|GO:0005622|GO:0006412
CGD:DEHA2E20966g	DEHA2E20966g	GO:0000089|GO:0000093
CGD:DEHA2E07876g	DEHA2E07876g	GO:0042407|GO:0061617
CGD:DEHA2D15994g	DEHA2D15994g	GO:0003746|GO:0006414|GO:0005853
CGD:DEHA2D11220g	DEHA2D11220g	GO:0016575
CGD:DEHA2A06798g	DEHA2A06798g	GO:0030170|GO:0071266|GO:0003824|GO:0019346|GO:0004121
CGD:DEHA2G02640g	DEHA2G02640g	GO:0005506|GO:0016491|GO:0008610|GO:0055114|GO:0006633|GO:0005886
CGD:DEHA2A02024g	DEHA2A02024g	GO:0016757|GO:0046354|GO:0006486|GO:0035268
CGD:DEHA2G20416g	DEHA2G20416g	GO:0006364
CGD:DEHA2F15444g	DEHA2F15444g	GO:0055085|GO:0022857|GO:0016020|GO:0016021
CGD:DEHA2A12606g	DEHA2A12606g	GO:0030447|GO:0006281|GO:0007062|GO:0030915|GO:0036180|GO:0000724|GO:0071216|GO:0036170|GO:0009267
CGD:DEHA2C11506g	DEHA2C11506g	GO:0003676
CGD:DEHA2G09372g	DEHA2G09372g	GO:0016491|GO:0008152|GO:0055114|GO:0016620
CGD:DEHA2A14652g	DEHA2A14652g	GO:0016779
CGD:DEHA2C13552g	DEHA2C13552g	GO:0003824|GO:0008152|GO:0062040
CGD:DEHA2G17908g	DEHA2G17908g	GO:0003676|GO:0005634|GO:0042493
CGD:DEHA2B08580g	DEHA2B08580g	GO:0006914
CGD:DEHA2F00176g	DEHA2F00176g	GO:0005215
CGD:DEHA2G24376g	DEHA2G24376g	GO:0009277|GO:0016020|GO:0005886|GO:0009986
CGD:DEHA2E05148g	DEHA2E05148g	GO:0006071|GO:0044409|GO:0071470|GO:0036164|GO:0044011|GO:0009405|GO:0006114|GO:0016787
CGD:DEHA2D13266g	DEHA2D13266g	GO:0016021
CGD:DEHA2E17776g	DEHA2E17776g	GO:0030448|GO:0007033
CGD:DEHA2B11088g	DEHA2B11088g	GO:0004143|GO:0007205|GO:0016301
CGD:DEHA2B03894g	DEHA2B03894g	GO:0000166|GO:0016887|GO:0005524|GO:0042626|GO:0055085|GO:0016021|GO:0017111|GO:0006810
CGD:DEHA2E13002g	DEHA2E13002g	GO:0005524|GO:0004713|GO:0004672|GO:0006468
CGD:DEHA2F05522g	DEHA2F05522g	GO:0006886|GO:0008536|GO:0005643
CGD:DEHA2D18612g	DEHA2D18612g	GO:0000287|GO:0000166|GO:0006418|GO:0005524|GO:0004812|GO:0005737|GO:0008033|GO:0004826|GO:0006432|GO:0043039|GO:0000049
CGD:DEHA2A04730g	DEHA2A04730g	GO:0016021
CGD:DEHA2G17226g	DEHA2G17226g	GO:0016021|GO:0006810
CGD:DEHA2F25344g	DEHA2F25344g	GO:1903561|GO:0015485|GO:0035690|GO:0005576|GO:0009405|GO:0009986
CGD:DEHA2B01760g	DEHA2B01760g	GO:0032040|GO:0035690|GO:0006364|GO:0005730
CGD:DEHA2C08316g	DEHA2C08316g	GO:0006979|GO:0018171|GO:0004602|GO:0034599|GO:0061407|GO:0055114
CGD:DEHA2B16434g	DEHA2B16434g	GO:0008171
CGD:DEHA2F27390g	DEHA2F27390g	GO:0005524|GO:0004672|GO:0006468
CGD:DEHA2D05390g	DEHA2D05390g	GO:0016192|GO:0016021
CGD:DEHA2E05808g	DEHA2E05808g	GO:0005524|GO:0034605|GO:0005737|GO:0044267|GO:0005829|GO:0042026
CGD:DEHA2F03520g	DEHA2F03520g	GO:0016579|GO:0030446|GO:0009986|GO:0006511
CGD:DEHA2A14696g	DEHA2A14696g	GO:0055085|GO:0022857|GO:0016021
CGD:DEHA2D16610g	DEHA2D16610g	GO:0003677|GO:0005634|GO:0046982|GO:0000786|GO:0006334
CGD:DEHA2C13596g	DEHA2C13596g	GO:0005634|GO:0035690
CGD:DEHA2F08206g	DEHA2F08206g	GO:0003677|GO:0003682
CGD:DEHA2G19998g	DEHA2G19998g	GO:0005524|GO:0004672|GO:0006468|GO:0004674
CGD:DEHA2F23342g	DEHA2F23342g	GO:0004325|GO:0006783
CGD:DEHA2D01342g	DEHA2D01342g	GO:0050661|GO:0050660|GO:0055114|GO:0004499
CGD:DEHA2A07414g	DEHA2A07414g	GO:0009086|GO:0005634|GO:0008270|GO:0009277|GO:0062040|GO:0008652|GO:0003871|GO:0044416|GO:0030446|GO:0009986|GO:0006555
CGD:DEHA2C06314g	DEHA2C06314g	GO:0016491|GO:0055114
CGD:DEHA2G17270g	DEHA2G17270g	GO:0016740
CGD:DEHA2A09460g	DEHA2A09460g	GO:0003723|GO:0003735|GO:0015935|GO:0005840|GO:0005622|GO:0006412
CGD:DEHA2C08360g	DEHA2C08360g	GO:0044182|GO:1900429|GO:0030447|GO:0000128|GO:0060257|GO:0009405|GO:0006038
CGD:DEHA2D11924g	DEHA2D11924g	GO:0055085|GO:0022857|GO:0016020|GO:0016021|GO:0006810|GO:0005215
CGD:DEHA2E05852g	DEHA2E05852g	GO:0008270
CGD:DEHA2D08074g	DEHA2D08074g	GO:0005525|GO:0007165|GO:0007264|GO:0003924|GO:0016020|GO:0015031|GO:0005622
CGD:DEHA2D13970g	DEHA2D13970g	GO:0016021|GO:0005740
CGD:DEHA2E15092g	DEHA2E15092g	GO:0031262|GO:0000776|GO:0000775
CGD:DEHA2A02728g	DEHA2A02728g	GO:0005634|GO:0008270|GO:0003700|GO:0006355|GO:0042025|GO:0000981
CGD:DEHA2E23628g	DEHA2E23628g	GO:0003756|GO:0015035|GO:0009055|GO:0006662|GO:0005783|GO:0045454|GO:0005576|GO:0009986|GO:0016853
