Q6BRF0	DEHA2D16896g
Q6BGR9	DEHA2G24398g
Q6BGW1	DEHA2G23474g
Q6BMA8	DEHA2F07018g
Q6BLA6	DEHA2F15070g
Q6BIL4	DEHA2G09438g
Q6BY07	DEHA2A13398g
Q6BY77	DEHA2A11792g
Q6BQ54	DEHA2E08228g
Q6BKW7	DEHA2F18304g
Q6BN00	DEHA2F01320g
A9RAG7	
Q6BUI4	DEHA2C10406g
Q6BQH4	DEHA2E05214g
Q6BUX9	DEHA2C07084g
Q6BS75	DEHA2D11044g
Q6BZ43	DEHA2A04708g
Q6BLV1	DEHA2F10494g
Q6BLA1	DEHA2F15180g
Q6BNP6	DEHA2E19976g
Q6BWK1	DEHA2B10692g
Q6BIV1	DEHA2G07414g
Q6BW83	DEHA2B13574g
Q6BJ48	DEHA2G05214g
Q6BW57	DEHA2B14190g
Q6BKM0	DEHA2F20768g
Q6BW46	DEHA2B14432g
Q6BV42	DEHA2C05522g
Q6BSN9	DEHA2D07370g
Q6BR77	DEHA2D18590g
Q6BWC0	DEHA2B12518g
Q6BXM9	DEHA2B01716g
Q6BT58	DEHA2D03322g
Q6BV94	DEHA2C04378g
Q6BUI3	DEHA2C10428g
Q6BXN1	DEHA2B01672g
Q6BXQ8	DEHA2B01012g
Q6BKB5	DEHA2F23320g
Q6BJE2	DEHA2G03080g
Q6BVF9	DEHA2C02992g
Q6BKW1	DEHA2F18744g
A9RAH7	
Q6BQF2	DEHA2E05676g
Q6BW58	DEHA2B14168g
Q6BJW6	DEHA2F26818g
Q6BNG2	DEHA2E22000g
Q6BPN7	DEHA2E12122g
B5RUV1	DEHA2G18854g
Q6BJW8	DEHA2F26774g
Q6BQP3	DEHA2E03520g
Q6BQK9	DEHA2E04400g
Q6BPR6	DEHA2E11396g
Q6BUT3	DEHA2C08206g
Q6BZ44	DEHA2A04686g
Q6BKZ4	DEHA2F17644g
Q6BS73	DEHA2D11088g
Q6BKI2	DEHA2F21802g
Q6BHI9	DEHA2G18216g
Q6BMU4	DEHA2F02574g
Q6BIX6	DEHA2G06842g
Q6BM14	DEHA2F09108g
Q6BXC8	DEHA2B04136g
Q6BRG2	DEHA2D16610g
A9RAH0	
Q6BQU8	DEHA2E02046g
Q6BSZ4	DEHA2D04796g
Q6BRV5	DEHA2D13530g
Q6BIG0	DEHA2G10780g
Q6BUJ2	DEHA2C10186g
Q6BTX9	DEHA2C15092g
Q6BN12	DEHA2F01056g
Q6BXZ7	DEHA2A13640g
Q6BV58	DEHA2C05170g
Q6BZH5	DEHA2A01276g
Q6BSE2	DEHA2D09504g
Q6BMT2	DEHA2F02838g
Q6BH13	DEHA2G22176g
Q6BSK8	DEHA2D08096g
Q6BLK0	DEHA2F12826g
Q6BIE4	DEHA2G11176g
Q6BUH8	DEHA2C10538g
Q6BXI1	DEHA2B02838g
Q6BMY0	DEHA2F01760g
Q6BWS4	DEHA2B08954g
Q6BIY6	DEHA2G06622g
Q6BM53	DEHA2F08228g
Q6BIF5	DEHA2G10890g
Q6BPF8	DEHA2E13948g
Q6BV91	DEHA2C04444g
Q6BVC2	DEHA2C03806g
Q6BNN6	DEHA2E20262g
Q6BSM3	DEHA2D07744g
Q6BNL1	DEHA2E20856g
Q6BVZ3	DEHA2B15554g
A9RAG8	
Q6BPZ9	DEHA2E09548g
Q6BUA6	DEHA2C12386g
Q6BJ75	DEHA2G04620g
