ProteinID	KCl3
B5RT37	4340.695801
B5RT39	56935.03906
B5RT39	5079.000977
B5RT41	46134.38281
B5RT42	0
B5RT42	0
B5RT48	50842.85156
B5RT48	4037.983643
B5RT48	6652.563965
B5RT48	0
B5RT48	4520.12207
B5RT61	29488.05469
B5RT63	206835.1563
B5RT63	7507.137695
B5RT63	0
B5RT63	7494.78418
B5RT63	0
B5RT65	3247443.75
B5RT65	748323.9375
B5RT65	0
B5RT65	0
B5RT65	65724.85156
B5RT65	33815.3125
B5RT65	0
B5RT65	154523.9688
B5RT65	427346.0625
B5RT65	0
B5RT65	7976.955566
B5RT65	34414.12109
B5RT65	98173.48438
B5RT65	0
B5RT65	0
B5RT65	137762.3438
B5RT65	0
B5RT65	0
B5RT65	169873.25
B5RT65	100926.0859
B5RT65	12878.73828
B5RT65	30372.81445
B5RT65	2182903.5
B5RT65	0
B5RT65	365209.9688
B5RT65	220257.0469
B5RT65	0
B5RT65	217845.8438
B5RT65	156728.8906
B5RT65	298475.375
B5RT65	83067.54688
B5RT65	57015.41797
B5RT65	14563.44531
B5RT65	12285.85059
B5RT65	39294.91797
B5RT65	31035.93555
B5RT65	10442.01172
B5RT65	0
B5RT65	0
B5RT67	0
B5RT67	13423.67969
B5RT67	11118.54004
B5RT68	295005
B5RT68	32268.30078
B5RT68	14976.13379
B5RT68	19477.79492
B5RT68	0
B5RT68	335986.875
B5RT68	140802.1563
B5RT68	57015.12891
B5RT68	60976.96094
B5RT68	26127.43359
B5RT68	0
B5RT68	6831.201172
B5RT68	2016.058105
B5RT68	0
B5RT68	5232.078125
B5RT68	11458.97559
B5RT68	1933.124268
B5RT68	0
B5RT68	0
B5RT68	0
B5RT68	0
B5RT68	0
B5RT68	0
B5RT68	0
B5RT68	2028.765625
B5RT70	0
B5RT73	16783.89258
B5RT73	12644.74414
B5RT73	1773.931396
B5RT73	0
B5RT73	4050.669189
B5RT73	3010.785645
B5RT73	2882.994141
B5RT73	286381.1875
B5RT73	84660.28906
B5RT73	46190.05469
B5RT73	8809.375
B5RT73	19263.64063
B5RT73	12136.73145
B5RT73	10741.98828
B5RT73	1838.650635
B5RT73	46780.22266
B5RT73	23384.05859
B5RT73	5748.462891
B5RT73	31333.47266
B5RT73	22882.95313
B5RT73	7275.228516
B5RT82	25079.19727
B5RT82	11754.89941
B5RT82	9219.785156
B5RT82	28854.07031
B5RT82	0
B5RT82	0
B5RT84	769951.5
B5RT84	39514.28906
B5RT84	0
B5RT84	0
B5RT85	9515.774414
B5RT85	0
B5RT86	57288.57031
B5RT86	30805.7832
B5RT86	27657.55664
B5RT88	48977.75
B5RT88	46545.02344
B5RT88	51180.22266
B5RT88	18858.17969
B5RT88	4971.37793
B5RT88	3528.446777
B5RT88	38962.79688
B5RT88	0
B5RT88	0
B5RT92	7395.516602
B5RT92	0
B5RT92	16195.92969
B5RT93	235870.5469
B5RT95	38377.26172
B5RT95	6826.973145
B5RT97	4955.880859
B5RT99	0
B5RT99	5415.432617
B5RT99	0
B5RTA3	9154.755859
B5RTA6	0
B5RTA6	469.6894531
B5RTA8	103507.2578
B5RTA8	16793.5918
B5RTA8	17815.52734
B5RTB0	31379.3457
B5RTB0	7998.106934
B5RTB0	4706.927246
B5RTC6	114471.4063
B5RTC6	87409.10938
B5RTC6	3654.417236
B5RTC6	83539.40625
B5RTC6	22889.47656
B5RTC6	17503.875
B5RTC6	0
B5RTC6	8332.152344
B5RTC9	13454.38574
B5RTC9	2765.21167
B5RTD0	13046.2002
B5RTD0	11582.63672
B5RTD0	2030.510986
B5RTD3	0
B5RTE4	29491.16602
B5RTE4	238509.7031
B5RTE4	13169.86621
B5RTE7	7322.033203
B5RTF3	387532.6875
B5RTF3	0
B5RTF3	0
B5RTF8	0
B5RTF8	219966.6719
B5RTF8	55255.19922
B5RTF8	1269.332275
B5RTF8	213250.7031
B5RTF8	109644.0078
B5RTF8	8358.291992
B5RTF9	9981.686523
B5RTF9	153324.6875
B5RTF9	0
B5RTF9	21550.55273
B5RTF9	26227.51172
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	13147.2793
B5RTF9	6356.378906
B5RTF9	15509.53223
B5RTF9	10099.6377
B5RTF9	3647.279541
B5RTF9	7145.868164
B5RTF9	0
B5RTG3	0
B5RTG5	75878.07031
B5RTG5	302733.9688
B5RTG5	15972.50586
B5RTG5	37475.67969
B5RTG5	0
B5RTG5	85790.60938
B5RTG5	0
B5RTG5	0
B5RTG5	11618.55371
B5RTG5	10446.06445
B5RTG5	1221.755859
B5RTG5	0
B5RTG5	5451.399414
B5RTG5	1055.801392
B5RTG5	0
B5RTG8	6254.413574
B5RTG8	12052.97559
B5RTG9	0
B5RTG9	5961.168457
B5RTG9	0
B5RTH4	96106.03125
B5RTH6	4094514
B5RTH6	21616.99414
B5RTH6	3369.15625
B5RTH6	5797462
B5RTH6	57103.34766
B5RTH6	2449.116455
B5RTH6	9867.003906
B5RTH6	1
B5RTH6	2794.192383
B5RTH6	6995.603516
B5RTH6	1975.63269
B5RTI1	539937.125
B5RTI2	14326.80566
B5RTI2	0
B5RTI4	0
