Geneid	RNA STAR on 1MKCl3: mapped.bam
gene-DEHA2A10032g	6816
gene-DEHA2A10054g	1191
gene-DEHA2A10076g	2105
gene-DEHA2A10098g	3552
gene-DEHA2A10120g	3397
gene-DEHA2A10142g	4572
gene-DEHA2A10164g	4640
gene-DEHA2A10186g	5769
gene-DEHA2A10208g	4433
gene-DEHA2A10230g	2938
gene-DEHA2A10252g	5097
gene-DEHA2A10274g	5116
gene-DEHA2A10296g	9514
gene-DEHA2A10318g	1989
gene-DEHA2A10340g	6332
gene-DEHA2A10362g	625
gene-DEHA2A10384g	13372
gene-DEHA2A10406g	7253
gene-DEHA2A10428g	2738
gene-DEHA2A10450g	5009
gene-DEHA2A10472g	1666
gene-DEHA2A10494g	3776
gene-DEHA2A10516g	31744
gene-DEHA2A10538g	45409
gene-DEHA2A10560g	3227
gene-DEHA2A10582g	2741
gene-DEHA2A10604g	721
gene-DEHA2A10626g	3576
gene-DEHA2A10648g	5065
gene-DEHA2A10670g	3742
gene-DEHA2A10692r	1
gene-DEHA2A10714g	2557
gene-DEHA2A10736g	384
gene-DEHA2A10758g	9642
gene-DEHA2A10780g	10332
gene-DEHA2A10802g	1669
gene-DEHA2A10824g	3661
gene-DEHA2A10846g	1824
gene-DEHA2A10868g	4657
gene-DEHA2A10890g	4398
gene-DEHA2A10912g	4977
gene-DEHA2A10934g	2959
gene-DEHA2A10956g	11220
gene-DEHA2A10978g	6178
gene-DEHA2A11000g	1976
gene-DEHA2A11022g	131
gene-DEHA2A11044g	70200
gene-DEHA2A11066g	3401
gene-DEHA2A11088g	1708
gene-DEHA2A11110g	8133
gene-DEHA2A11132g	1751
gene-DEHA2A11154g	61
gene-DEHA2A11176g	0
gene-DEHA2A11198g	51003
gene-DEHA2A11220g	7157
gene-DEHA2A11242g	6715
gene-DEHA2A11264g	1240
gene-DEHA2A11286g	1672
gene-DEHA2A11308g	5452
gene-DEHA2A11330g	19
gene-DEHA2A11352g	2088
gene-DEHA2A11374g	8577
gene-DEHA2A11396g	3830
gene-DEHA2A11418g	3981
gene-DEHA2A11440g	5670
gene-DEHA2A11462g	2452
gene-DEHA2A11484g	35
gene-DEHA2A11506g	13406
gene-DEHA2A11528g	10035
gene-DEHA2A11550g	3849
gene-DEHA2A11572g	4667
gene-DEHA2A11594g	4196
gene-DEHA2A11616g	2872
gene-DEHA2A11638g	3003
gene-DEHA2A11660g	19418
gene-DEHA2A11682g	688
gene-DEHA2A11704g	2009
gene-DEHA2A11726r	0
gene-DEHA2A11748r	0
gene-DEHA2A11770r	2
gene-DEHA2A11792g	6464
gene-DEHA2A11814g	3599
gene-DEHA2A11836g	3542
gene-DEHA2A11858g	10042
gene-DEHA2A11880g	2857
gene-DEHA2A11902g	3900
gene-DEHA2A11924g	1564
gene-DEHA2A11946g	8699
gene-DEHA2A11968g	3999
gene-DEHA2A11990g	963
gene-DEHA2A12012g	2540
gene-DEHA2A12034g	3295
gene-DEHA2A12056g	5168
gene-DEHA2A12078g	1755
gene-DEHA2A12100g	10558
gene-DEHA2A12122g	3670
gene-DEHA2A12144g	13163
gene-DEHA2A12166g	2065
gene-DEHA2A12188g	8
gene-DEHA2A12210g	11914
gene-DEHA2A12232g	2258
gene-DEHA2A12254g	925
gene-DEHA2A12276g	6760
gene-DEHA2A12298g	2441
gene-DEHA2A12320g	11
gene-DEHA2A12342g	266
gene-DEHA2A12364g	742
gene-DEHA2A12386g	23
gene-DEHA2A12408g	5
gene-DEHA2A12430g	4331
gene-DEHA2A12452g	2209
gene-DEHA2A12474g	2238
gene-DEHA2A12496g	6284
gene-DEHA2A12518g	2332
gene-DEHA2A12540g	21136
gene-DEHA2A12562g	915
gene-DEHA2A12584g	1564
gene-DEHA2A12606g	6044
gene-DEHA2A12628g	7277
gene-DEHA2A12650g	2013
gene-DEHA2A12672g	5063
gene-DEHA2A12694g	3503
gene-DEHA2A12716g	0
gene-DEHA2A12738g	3923
gene-DEHA2A12760g	1054
