ProteinID	NaCl3
B5RT37	13083.94629
B5RT39	68425.28125
B5RT39	9975.749023
B5RT41	41492.47656
B5RT42	43275.83203
B5RT42	0
B5RT48	49717.31641
B5RT48	4368.960938
B5RT48	4243.485352
B5RT48	2091.69165
B5RT48	3627.923096
B5RT61	27395.64648
B5RT63	140046.1875
B5RT63	4399.916016
B5RT63	0
B5RT63	0
B5RT63	0
B5RT65	3783074
B5RT65	678006.9375
B5RT65	0
B5RT65	0
B5RT65	78810.1875
B5RT65	43715.56641
B5RT65	184161.7344
B5RT65	165792.6094
B5RT65	526227.25
B5RT65	0
B5RT65	0
B5RT65	0
B5RT65	103540.5547
B5RT65	13125.06152
B5RT65	0
B5RT65	170618.3281
B5RT65	36507.99609
B5RT65	0
B5RT65	0
B5RT65	83221.25781
B5RT65	14454.8457
B5RT65	39291.52734
B5RT65	1841862.5
B5RT65	0
B5RT65	0
B5RT65	263606.5
B5RT65	0
B5RT65	183974.8906
B5RT65	140356.625
B5RT65	329851.3438
B5RT65	72207.70313
B5RT65	50628.81641
B5RT65	11948.73242
B5RT65	0
B5RT65	32288.2793
B5RT65	28031.24023
B5RT65	12954.7627
B5RT65	10437.54883
B5RT65	0
B5RT67	20185.74219
B5RT67	11550.19629
B5RT67	8609.490234
B5RT68	307016.125
B5RT68	38792.00391
B5RT68	12020.5293
B5RT68	12448.59473
B5RT68	5522.411133
B5RT68	330637.1563
B5RT68	151134.3438
B5RT68	52076.23438
B5RT68	67430.67188
B5RT68	0
B5RT68	18459.92383
B5RT68	7104.571289
B5RT68	1787.300781
B5RT68	28016.02539
B5RT68	12314.99707
B5RT68	11981.2627
B5RT68	0
B5RT68	5036.906738
B5RT68	0
B5RT68	5383.981934
B5RT68	0
B5RT68	0
B5RT68	0
B5RT68	2796.138428
B5RT68	0
B5RT70	5664.646484
B5RT73	14140.09473
B5RT73	13790.44238
B5RT73	2450.629639
B5RT73	9880.498047
B5RT73	3736.859375
B5RT73	0
B5RT73	3458.641602
B5RT73	280800.375
B5RT73	57248.07422
B5RT73	44094.48828
B5RT73	11944.67773
B5RT73	13908.75879
B5RT73	12292.38086
B5RT73	9837.399414
B5RT73	0
B5RT73	46115.27734
B5RT73	17993.63086
B5RT73	5863.938477
B5RT73	36981.6875
B5RT73	23610.28711
B5RT73	7267.486328
B5RT82	40081.67578
B5RT82	18890.34375
B5RT82	17400.54102
B5RT82	46713.01172
B5RT82	19462.25391
B5RT82	3451.672119
B5RT84	651533.3125
B5RT84	30100.39258
B5RT84	0
B5RT84	7705.804688
B5RT85	11788.61328
B5RT85	5735.244141
B5RT86	46254.78125
B5RT86	0
B5RT86	14108.50879
B5RT88	39747.17188
B5RT88	38690.4375
B5RT88	52220.89063
B5RT88	21539.98242
B5RT88	7488.19873
B5RT88	4677.467285
B5RT88	28706.70313
B5RT88	2014.241943
B5RT88	0
B5RT92	8401.479492
B5RT92	0
B5RT92	8735.201172
B5RT93	226133.2031
B5RT95	56479.13672
B5RT95	8054.003418
B5RT97	2606.408447
B5RT99	0
B5RT99	0
B5RT99	10452.88965
B5RTA3	7550.468262
B5RTA6	0
B5RTA6	0
B5RTA8	135676.0625
B5RTA8	19395.39063
B5RTA8	20165.37109
B5RTB0	24755.60352
B5RTB0	0
B5RTB0	5177.328613
B5RTC6	115631.5
B5RTC6	120036.3203
B5RTC6	0
B5RTC6	52698.15234
B5RTC6	0
B5RTC6	0
B5RTC6	9586.852539
B5RTC6	7123.913086
B5RTC9	46739.64453
B5RTC9	12033.23242
B5RTD0	0
B5RTD0	0
B5RTD0	1726.643921
B5RTD3	0
B5RTE4	25786.34375
B5RTE4	191384.5938
B5RTE4	13230.72461
B5RTE7	7558.810547
B5RTF3	293167.75
B5RTF3	5889.510254
B5RTF3	9699.415039
B5RTF8	0
B5RTF8	327934
B5RTF8	75606.99219
B5RTF8	1378.481201
B5RTF8	270665.5938
B5RTF8	124049.25
B5RTF8	6545.235352
B5RTF9	8526.827148
B5RTF9	114375.9297
B5RTF9	0
B5RTF9	12929.25586
B5RTF9	29604.61328
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	0
B5RTF9	8191.030762
B5RTF9	0
B5RTG3	3312.013916
B5RTG5	42987.00781
B5RTG5	293101.4375
B5RTG5	0
B5RTG5	34685.51563
B5RTG5	0
B5RTG5	76586.28906
B5RTG5	27867.21289
B5RTG5	10681.5752
B5RTG5	6589.816406
B5RTG5	7142.474609
B5RTG5	0
B5RTG5	827.7808838
B5RTG5	2731.169922
B5RTG5	0
B5RTG5	0
B5RTG8	8106.926758
B5RTG8	16374.76074
B5RTG9	0
B5RTG9	3546.175293
B5RTG9	2350.994141
B5RTH4	0
B5RTH6	3832084.5
B5RTH6	35836.30469
B5RTH6	12569.29395
B5RTH6	5487514
B5RTH6	48425.76563
B5RTH6	3473.724365
B5RTH6	13140.25293
B5RTH6	1
B5RTH6	1032.729858
B5RTH6	3318.006348
B5RTH6	2867.638916
B5RTI1	532182.625
B5RTI2	13350.78711
B5RTI2	0
B5RTI4	29545.86328
B5RTI4	0
B5RTI4	3816.947998
B5RTI4	3175.638672
B5RTI5	0
B5RTI6	2996.883301
B5RTJ1	93162.45313
B5RTJ1	0
B5RTJ1	10447.32617
B5RTJ1	0
B5RTJ1	7096.331543
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ4	0
B5RTJ4	68699.46875
B5RTJ4	37021.85938
B5RTJ4	35139.77734
B5RTJ4	26539.38281
B5RTJ4	0
B5RTJ4	0
B5RTJ4	23373.83203
B5RTJ4	0
B5RTJ4	0
B5RTJ4	23693.39453
B5RTJ4	8030.854004
