Geneid	RNA STAR on 1MNaCl2: mapped.bam
gene-DEHA2A09042g	805
gene-DEHA2A09064r	0
gene-DEHA2A09086g	3532
gene-DEHA2A09108g	1477
gene-DEHA2A09130g	5438
gene-DEHA2A09152g	9373
gene-DEHA2A09174g	2219
gene-DEHA2A09196g	3685
gene-DEHA2A09218g	2996
gene-DEHA2A09240g	9442
gene-DEHA2A09262g	3143
gene-DEHA2A09284g	3799
gene-DEHA2A09306g	48137
gene-DEHA2A09328g	10279
gene-DEHA2A09350g	2256
gene-DEHA2A09372g	6028
gene-DEHA2A09394g	27069
gene-DEHA2A09416g	2840
gene-DEHA2A09438g	7883
gene-DEHA2A09460g	19465
gene-DEHA2A09482g	10938
gene-DEHA2A09504g	6721
gene-DEHA2A09526g	11121
gene-DEHA2A09548g	1155
gene-DEHA2A09570g	2238
gene-DEHA2A09592g	7524
gene-DEHA2A09614g	1220
gene-DEHA2A09636g	2647
gene-DEHA2A09658g	4001
gene-DEHA2A09680g	19173
gene-DEHA2A09702g	633
gene-DEHA2A09724g	1575
gene-DEHA2A09746g	1820
gene-DEHA2A09768g	8084
gene-DEHA2A09790g	8394
gene-DEHA2A09812g	2712
gene-DEHA2A09834g	1255
gene-DEHA2A09856g	3537
gene-DEHA2A09878g	1002
gene-DEHA2A09900g	843
gene-DEHA2A09922g	1631
gene-DEHA2A09944g	2453
gene-DEHA2A09966g	5654
gene-DEHA2A09988g	2304
gene-DEHA2A10010g	14575
gene-DEHA2A10032g	5967
gene-DEHA2A10054g	967
gene-DEHA2A10076g	2242
gene-DEHA2A10098g	3057
gene-DEHA2A10120g	3379
gene-DEHA2A10142g	5178
gene-DEHA2A10164g	3864
gene-DEHA2A10186g	3346
gene-DEHA2A10208g	3501
gene-DEHA2A10230g	2413
gene-DEHA2A10252g	5601
gene-DEHA2A10274g	4841
gene-DEHA2A10296g	10134
gene-DEHA2A10318g	2696
gene-DEHA2A10340g	5500
gene-DEHA2A10362g	785
gene-DEHA2A10384g	13018
gene-DEHA2A10406g	5734
gene-DEHA2A10428g	2357
gene-DEHA2A10450g	4071
gene-DEHA2A10472g	1531
gene-DEHA2A10494g	3009
gene-DEHA2A10516g	29703
gene-DEHA2A10538g	46124
gene-DEHA2A10560g	2872
gene-DEHA2A10582g	2399
gene-DEHA2A10604g	720
gene-DEHA2A10626g	3442
gene-DEHA2A10648g	3625
gene-DEHA2A10670g	3747
gene-DEHA2A10692r	2
gene-DEHA2A10714g	3231
gene-DEHA2A10736g	360
gene-DEHA2A10758g	8329
gene-DEHA2A10780g	10932
gene-DEHA2A10802g	1379
