ProteinID	NaCl1
B5RUU3	15559.56152
B5RUU5	76243.21094
B5RUU6	8580.688477
B5RUU7	30162.35352
B5RUU9	149032.4063
B5RUV2	16659.0625
B5RUV3	37569.66406
B5RUV5	34490.01563
B5RUV9	106426.6563
B5RUW1	16664.46875
B5RUW2	222502.3594
B5RUW5	507708.4063
B5RUW6	34382.21875
B5RUW9	41587.69531
B5RUX0	27424.20117
B5RUX1	25671.69727
B5RUX2	4831.259277
B5RUX3	20046.67578
B5RUX5	110574.6797
B5RUX6	40054.32813
B5RUX7	30268.55469
B5RUY0	401878.9688
B5RUY4	287171.0938
B5RUY6	523862.0313
B5RUY7	26729.35547
B5RUY8	18675.83008
B5RUY9	30190.46094
B5RUZ0	30948.20117
B5RUZ2	1822977.25
B5RUZ3	177038.7969
B5RUZ5	39369.03906
B5RUZ7	24573.25
B5RV00	41637.01563
B5RV01	22964.29102
B5RV02	573456.75
B5RV04	24168.5918
B5RV09	35937.5
B5RV10	73793.53125
B5RV11	299232.5
B5RV13	2829.986328
B5RV15	25060.00977
B5RV16	44243.30859
B5RV17	5858.880371
B5RV18	151879.7188
B5RV20	18546.92578
B5RV22	25534.19141
B5RV24	4945.666016
B5RV25	1667.389893
B5RV26	52411.54297
B5RV27	32128.09375
B5RV29	133241.9063
B5RV32	264320.0938
B5RV33	43209.16016
B5RV34	47186.79688
B5RV36	36509.53906
B5RV39	1156220.375
B5RV40	998595.9375
B5RV41	15922.25488
B5RV43	9482.238281
B5RV44	17753.48828
B5RV45	284838.8438
B5RV46	110359.3438
B5RV48	353663.75
B5RV49	119590.8438
B5RV50	334025.0938
B5RV52	172936.8594
B5RV55	42363.78906
B5RV56	37662.15234
B5RV57	156448.0938
B5RV58	1518402.875
O42724	1773297.5
P00043	1385125.75
Q3V7I2	854063.6875
Q3V7I3	66945.14063
Q6B458	1803219.875
Q6B4U7	554471
Q6BGN8	5436930.5
Q6BGP9_Q6BVH2	4571.900879
Q6BGQ1	8165613
Q6BGQ3	15646.87988
Q6BGQ6	4025.969971
Q6BGQ7	32096.27734
Q6BGQ8	53823.94141
Q6BGR0	26506.52539
Q6BGR1	264520.6563
Q6BGR3	1426445.125
Q6BGR5	35838.47266
Q6BGR6	64268.57813
Q6BGR7	40940
Q6BGR8	1625567.625
Q6BGR9	43417.01563
Q6BGS2	723101.625
Q6BGS3	1054824.75
Q6BGS5	268936
Q6BGS7	255451.3281
Q6BGS8	66576.39063
Q6BGT0	6485577.5
Q6BGT1	1337061.625
Q6BGT5	129530.5938
Q6BGT6	40707.16797
Q6BGT7	21453.51367
Q6BGT8	28384.56445
Q6BGT9	11748.78125
Q6BGU0	293091.6563
Q6BGU1	23175.04102
Q6BGU2	10481550
Q6BGU4	242318.9063
Q6BGU5	25982.53516
Q6BGU6	93041.3125
Q6BGU7	96153.55469
Q6BGU8	95068.13281
Q6BGV0	29079.06055
Q6BGV1	1803980.25
Q6BGV2	24196.05859
Q6BGV3	2013133.625
Q6BGV4	820609.625
Q6BGV5	62289.16406
Q6BGV6	13684330
Q6BGV7	1045939.063
Q6BGV8	27610.43555
Q6BGV9	12931.9043
Q6BGW0	220765.4531
Q6BGW1	40068.94141
Q6BGW2	2819828
Q6BGW3	140043.5938
Q6BGW8	23305.41406
Q6BGX2	90066.42969
Q6BGX6	65484.07031
Q6BGY4	7380839.5
Q6BGY7	2165.368164
Q6BGY8	67850.46875
Q6BGY9	139654.2031
Q6BGZ3	481311.9375
Q6BH03	235160.2188
Q6BH10	1437920.375
Q6BH11	24665.01953
Q6BH12	438310.7188
Q6BH13	419733.9063
Q6BH16	62142.77734
Q6BH18	22500.10938
Q6BH19	15693.59863
Q6BH20	29505.02539
Q6BH22	245437.6719
Q6BH23	23277
Q6BH29	8112.06543
Q6BH30	126965.5938
Q6BH32	10010.33594
Q6BH34	111688.8906
Q6BH36	25634.07227
Q6BH37	289211.1563
Q6BH38	18025.14258
Q6BH39	55483.39844
Q6BH40	69248.66406
Q6BH41	248551.7969
Q6BH42	77936.64844
Q6BH47	14511.7207
Q6BH48	64535.1875
Q6BH50	281434
Q6BH52	170345.2813
Q6BH53	159048.2031
Q6BH54	22818.80664
Q6BH55	10475.25391
Q6BH57	976562.4375
Q6BH63	33886.75391
Q6BH64	12757370
Q6BH67	21923.05273
Q6BH69	1860.79126
Q6BH70	20489.79688
Q6BH72	15862.1416
Q6BH75	688977.25
