ProteinID	logFC	logCPM	F	PValue	FDR
Q6BLM8	16.9269609797751	2.01161951824736	139.846425908386	1.44171302298041e-05	0.00206742548277603
Q6BI65	0.918707750810179	6.14047583086545	79.6261220268612	1.48267127425716e-05	0.00206742548277603
Q6BY85	1.38361529365111	5.47357499258786	79.1779406291439	1.51499933023947e-05	0.00206742548277603
Q6BUE5	1.61458943893785	6.22271357463616	78.7852328911316	1.54404684523577e-05	0.00206742548277603
Q6BRS5	1.45884889279593	6.83391739456832	76.2622077365406	1.74809409680833e-05	0.00219675079199465
Q6BUF9	0.921011300369279	7.28476765633086	76.1971990838286	1.75377992665038e-05	0.00219675079199465
Q6BWC4	1.06710656717599	5.26804873975272	70.608093198345	2.34161601638355e-05	0.00284140468488042
Q6BLV6	1.67704066306102	5.83191507180911	68.1746861729079	2.67307157530501e-05	0.00308420825142388
Q6BP14	15.4071882040253	0.509867834552769	113.814652662251	2.70056864662405e-05	0.00308420825142388
Q6BS18	1.75446405746804	5.33059442541918	66.6567213654895	2.90951946630915e-05	0.0031046725939594
Q6BQH6	3.17200097934091	7.93731754264746	66.6343440362281	2.9131949150127e-05	0.0031046725939594
Q6BKX1	-1.7953626247434	4.32070689030901	66.3622247097297	2.95835400403034e-05	0.0031046725939594
Q6BMZ8	-1.10554229415753	8.99975594058124	65.3573762628404	3.13281527932626e-05	0.00314726728755117
B5RUI6	-1.33350809460494	4.9134292558475	65.1244564667866	3.17506051035986e-05	0.00314726728755117
Q6BY93	1.8306079692228	4.18885974448488	64.7626150564922	3.24209867375861e-05	0.00314726728755117
Q6BUP9	-1.39821601394838	7.53903097722962	64.320972573588	3.32631639753742e-05	0.00315026501747263
Q6BZL5	2.25746205976073	3.04677006395063	63.6591816625049	3.4576548113096e-05	0.00316819951377469
Q6BUE2	3.7594397930248	4.75321372108548	63.4116049614844	3.50843623724727e-05	0.00316819951377469
Q6BJ76	1.25381504443242	4.50767684928069	62.1671570874444	3.7781602586381e-05	0.0032738901341636
Q6BKI8	1.46422069297437	5.13110516876466	61.7955622758829	3.86364390493992e-05	0.0032738901341636
B5RT72	3.3600409607528	4.99793558758992	61.5909752752514	3.91173183963746e-05	0.0032738901341636
