ProteinID	Control5
B5RUN3	455270.3438
B5RUN4	59718.02344
B5RUN6	932645.75
B5RUN9	151375.1406
B5RUP0	188158.875
B5RUP2	153839.1406
B5RUP5	564454
B5RUP6	31803.94141
B5RUP7	394517.8438
B5RUP8	53718.34766
B5RUP9	101878.9766
B5RUQ2	82666.34375
B5RUQ4	138975.8906
B5RUQ5	336731.9375
B5RUQ6	0
B5RUR2	0
B5RUR3	42724.26563
B5RUR6	526024.4375
B5RUR7	4556.141602
B5RUR8	43626.71875
B5RUR9	144402.4688
B5RUS1	12872.01953
B5RUS2	6173.989746
B5RUS3	2655010.5
B5RUS6	164773.1406
B5RUS7	5685.881836
B5RUS8	8189.025391
B5RUS9	509887.7188
B5RUT1	10832.92773
B5RUT2	165636.6875
B5RUT4	29887.46094
B5RUT7	104345.7813
B5RUU0	109950.8281
B5RUU2	96277.48438
B5RUU3	19919.67188
B5RUU5	73402.125
B5RUU6	2500.084961
B5RUU7	23538.82227
B5RUU9	120617.9609
B5RUV2	20958.79688
B5RUV3	38214.73438
B5RUV5	42492.20313
B5RUV9	88795.39063
B5RUW1	12701.07129
B5RUW2	219976.1094
B5RUW5	910649.5625
B5RUW6	38436.17578
B5RUW9	14884.40332
B5RUX0	25914.3125
B5RUX1	26834.10938
B5RUX2	12208.83105
B5RUX3	41364.81641
B5RUX5	128114.5313
B5RUX6	59162.04688
B5RUX7	33508.59766
B5RUY0	323297.0625
B5RUY4	426655.6875
B5RUY6	364022.0625
B5RUY7	34337.94531
B5RUY8	25875.59766
B5RUY9	21845.55273
B5RUZ0	9070.337891
B5RUZ2	2130487.75
B5RUZ3	190965.1563
B5RUZ5	36248.33594
B5RUZ7	14425.88867
B5RV00	42698.02734
B5RV01	14914.38867
B5RV02	756587
B5RV04	59319.81641
B5RV09	28147.69922
B5RV10	47917.46484
B5RV11	346005.9688
B5RV13	0
B5RV15	32268.35352
B5RV16	43898.58984
B5RV17	10270.29297
B5RV18	195881.8125
B5RV20	31280.51172
B5RV22	17698.21875
B5RV24	11510.32813
B5RV25	3537.377197
B5RV26	49513.24219
B5RV27	34892.53125
B5RV29	114915.1719
B5RV32	222893.6563
B5RV33	54520.22656
B5RV34	68901.26563
B5RV36	32459.86523
B5RV39	831798.6875
B5RV40	1129655.125
B5RV41	13994.5332
B5RV43	14111.19824
B5RV44	16143.82031
B5RV45	52985.51953
B5RV46	139923.5313
B5RV48	356639.9375
B5RV49	138783.7969
B5RV50	427210.9688
B5RV52	2097489.75
B5RV55	25600.63281
B5RV56	69145.30469
B5RV57	142158.2188
B5RV58	1589034.75
O42724	757928.9375
P00043	740803.6875
Q3V7I2	1138626.75
Q3V7I3	19082.4375
Q6B458	1787119.75
Q6B4U7	388249.1875
Q6BGN8	6247934.5
Q6BGP9_Q6BVH2	9635.245117
Q6BGQ1	15987281
Q6BGQ3	29147.72461
Q6BGQ6	3504.158691
Q6BGQ7	7406.97998
Q6BGQ8	35652.23828
Q6BGR0	18478.93359
Q6BGR1	377508.0313
Q6BGR3	1920726
Q6BGR5	36873.62109
Q6BGR6	66446.17969
Q6BGR7	32905.3125
Q6BGR8	1921765.125
Q6BGR9	40569.91406
Q6BGS2	783323.5
Q6BGS3	1415853.75
Q6BGS5	308664.2813
Q6BGS7	31479.24805
Q6BGS8	101089.6172
Q6BGT0	2440613.5
Q6BGT1	1435574
Q6BGT5	107484.6172
Q6BGT6	65143.46875
Q6BGT7	13777.18848
Q6BGT8	26101.15625
Q6BGT9	41903.87109
Q6BGU0	277010.625
Q6BGU1	41074.38672
Q6BGU2	7517586
Q6BGU4	216474.5781
Q6BGU5	31921.95703
Q6BGU6	84898.34375
Q6BGU7	100737.3203
Q6BGU8	116388.2734
Q6BGV0	27418.34961
Q6BGV1	1434236.625
Q6BGV2	33972.63281
Q6BGV3	2053192.375
Q6BGV4	550787.5
Q6BGV5	38948.48438
Q6BGV6	9692128
Q6BGV7	1386620.25
Q6BGV8	26115.22266
