ProteinID	logFC	logCPM	F	PValue	FDR
B5RTQ2	-1.26845158839472	6.94392276190522	68.2322749305052	2.66457934707853e-05	0.00212404402492006
Q6BHW9	2.59823306813439	2.97601808062801	68.1254798375805	2.68035429361532e-05	0.00212404402492006
Q6BM03	1.58996486521662	6.63830066943133	67.6068968093667	2.75862208672059e-05	0.00214234591254721
Q6BSI9	2.19129305844019	8.34667086905579	66.2328210514983	2.98013326688823e-05	0.0022275756572354
Q6BV41	-2.70638042136225	3.25388871564913	65.8479317155579	3.04609709915382e-05	0.0022275756572354
Q6BHG8	-1.82625354417362	3.48208624062638	65.703557327434	3.0713065481496e-05	0.0022275756572354
Q6BQU9	1.57474126328362	4.47340270821028	65.5531843642281	3.09783892584887e-05	0.0022275756572354
Q6BH52	1.4957469896917	5.61336750350123	64.7006396402871	3.25375617043921e-05	0.00229715185633008
Q6BZI1	-1.14546825949217	7.9401430461712	64.2765002777611	3.33494638640347e-05	0.00231242800328655
Q6BQN9	1.82043960315404	5.01649422915618	63.0284436067373	3.58886398062875e-05	0.00241099309465936
B5RSZ2	-1.48224650902804	6.85899330045114	62.9702540899054	3.60127734973584e-05	0.00241099309465936
Q6BZL5	2.23291926514219	3.04677006395063	62.394908608701	3.7269245141754e-05	0.00243578185772777
Q6BRM6	1.20778695482306	6.71914839269386	62.2307675157686	3.76376284995277e-05	0.00243578185772777
Q6BXQ5	-1.08535946176712	11.602682635729	60.7566586923504	4.11568888253324e-05	0.00258868369938339
Q6BLS9	-2.22788925350609	2.71937709798215	60.4916923118758	4.18320659001727e-05	0.00258868369938339
Q6BVJ1	-0.942110736202134	4.99386694551492	60.4265038349844	4.20002763484815e-05	0.00258868369938339
Q6BLI9	2.81095661645004	10.1076755445418	60.1036928192266	4.28457125511196e-05	0.00259952971618746
B5RUL7	1.41648689656515	4.82752982787647	58.9438238374309	4.60628841342631e-05	0.00271169375184582
Q6BMZ8	-1.0480013357537	8.99975594058124	58.869786425991	4.62782462503423e-05	0.00271169375184582
Q6BJQ6	1.37807798323085	5.04916602304117	58.6957371110992	4.67894621101391e-05	0.00271169375184582
Q6BHE0	2.17643248409719	4.63642091149443	58.2510445840269	4.81277522496148e-05	0.00274823620566551
Q6BQ10	1.06982368729577	4.39972372739555	56.4455874493278	5.40739520145137e-05	0.00302411869976957
Q6BM46	-1.52389121224904	4.49775999124477	56.2974379093244	5.46012897580081e-05	0.00302411869976957
Q6BWP3	-1.46674758893387	5.42569958758061	56.0927336733883	5.53404662818192e-05	0.00302411869976957
Q6BK55	-3.54363747618352	5.45191172958568	55.8928314569184	5.60743101682743e-05	0.00302411869976957
Q6BLA0	0.873595420123243	11.4527556352739	55.0507366111305	5.93013424973311e-05	0.00308623844678549
Q6BU79	-0.964793408563162	9.93231033889534	54.8731944566398	6.00108453607668e-05	0.00308623844678549
Q6BV93	1.17715493541486	6.64979333624854	54.5930542922945	6.11518895673223e-05	0.00308623844678549
Q6BPN4	-1.29549690731376	4.84650523024624	54.3793923587249	6.20402791016898e-05	0.00308623844678549
Q6BUD1	-2.27618437259321	6.82271068812769	54.3759580477424	6.20546888668909e-05	0.00308623844678549
Q6BIT7	1.06140912574491	5.25102676929418	54.3144656424624	6.23134037325313e-05	0.00308623844678549
Q6BRA5	1.14846766249163	5.75526854402243	54.2020547797655	6.27898113046751e-05	0.00308623844678549
Q6BY31	4.70718655199541	6.69035535845211	54.7765695903785	6.37069577776421e-05	0.00309194383982569
Q6BVM6	1.00051530599451	5.94906754743006	53.807424658516	6.44984421905435e-05	0.00309194383982569
Q6BL38	-5.57718513810843	4.86866346740357	54.3775056721179	6.72852797295384e-05	0.00318620416085119
