ProteinID	KCl4
Q6BI97	101697.9531
Q6BI98	64637.85938
Q6BI99	39321.36328
Q6BIA1	32032.72461
Q6BIA2	679209.25
Q6BIA3	256545.8281
Q6BIA5	21300.50391
Q6BIA6	16891.99805
Q6BIA9	297692.4688
Q6BIB2	123534.8359
Q6BIB3	30588.99414
Q6BIB4	317183.875
Q6BIB5	96169.60938
Q6BIB6	17334.32031
Q6BIB9	40105.69141
Q6BIC0	682081.4375
Q6BIC2	8329.400391
Q6BID1	27189.63672
Q6BID3	939253.625
Q6BIE4	149047.0938
Q6BIE5	42786.14453
Q6BIE6	185471.0469
Q6BIE7	69622.64844
Q6BIE8	144821.0156
Q6BIE9	4600.363281
Q6BIF2	897610.875
Q6BIF4	50393.96094
Q6BIF5	399695.2813
Q6BIF6	0
Q6BIF8	30520.04688
Q6BIF9	456742.4688
Q6BIG0	98620.55469
Q6BIG1	28624.87695
Q6BIG3	230323.0156
Q6BIG8	5784.046387
Q6BIH0	36608.03906
Q6BIH2	510886.5625
Q6BIH3	111980.8516
Q6BIH4	5957639
Q6BIH5	45290.00391
Q6BIH6	1816433.625
Q6BIH7	26323.53906
Q6BIH8	77205.09375
Q6BIH9	41598256
Q6BII1	7296.191406
Q6BII3	5906.449219
Q6BII4	3817.238037
Q6BII5	314837.1563
Q6BII6	174921.2188
Q6BII7	59951.67578
Q6BII8	20862.63281
Q6BII9	68195.55469
Q6BIJ0	56904.83594
Q6BIJ1	25802.26172
Q6BIJ2	24609.14258
Q6BIJ4	59824.77734
Q6BIJ5	180718.875
Q6BIJ6	121615.0156
Q6BIJ9	65868.95313
Q6BIK0	109378.4063
Q6BIK3	97117.5625
Q6BIK4	1306497.25
Q6BIK6	24767.35156
Q6BIK7	8692.728516
Q6BIK8	84795.99219
Q6BIK9	10395623
Q6BIL0	354074.5938
Q6BIL1	103267.6797
Q6BIL2	2640466.25
Q6BIL3	109862.5313
Q6BIL4	45811.44922
Q6BIL7	503426.9375
Q6BIL9	265135.0938
Q6BIM1	272127
Q6BIM2	1974.994385
Q6BIM3	250562.6094
Q6BIM4	1224110.5
Q6BIM5	1202304
Q6BIM6	114402.0781
Q6BIM7	34920.17969
Q6BIM8	21934.12695
Q6BIN0	0
Q6BIN1	83942.35156
Q6BIN4	107945.8359
Q6BIN5	8120.166016
Q6BIN6	55237.67188
Q6BIN9	34113.26953
Q6BIP0	339978.6875
Q6BIP1	241690.4688
Q6BIP4	222768.0625
Q6BIP6	30410.02148
Q6BIP7	19499.2168
Q6BIP9	30504.58398
Q6BIQ0	126170.5
Q6BIQ2	148114.2188
Q6BIQ4	17894.80664
Q6BIQ5	67949.83594
Q6BIQ7	53357.3125
Q6BIR1	506549.9688
Q6BIR2	155794.4688
Q6BIR5	56065.74219
Q6BIR6	138376.7188
Q6BIR7	52583.10547
Q6BIR8	12742.25195
Q6BIR9	98867.28125
Q6BIS0	8957.489258
Q6BIS1	4244036.5
Q6BIS3	25020.12109
Q6BIS5	162275.1719
Q6BIS6	19453.99219
Q6BIS9	15852.13965
Q6BIT0	1014750.75
Q6BIT1	259373.1406
Q6BIT3	231432.4688
Q6BIT4	71404.48438
Q6BIT7	98334.01563
Q6BIT8	68164.46094
Q6BIU1	41042.69922
Q6BIU3	49554.63672
Q6BIU4	949781.3125
Q6BIU5	6884.197266
Q6BIU6	105703.1797
Q6BIU7	136443.5781
Q6BIU8	140168.8594
Q6BIV0	15999.78418
Q6BIV1	47382.69141
Q6BIV2	2544747
Q6BIV3	130633.1406
Q6BIV8	13571.12012
Q6BIW4	333840.5625
Q6BIW5	150476.3594
Q6BIW6	154546.5469
Q6BIW8	201186.375
Q6BIW9	82761.85156
Q6BIX0	1634589
Q6BIX1	20642.82422
Q6BIX4	36958.85547
Q6BIX5	393275.4063
Q6BIX6	1179824
Q6BIX9	8996.162109
Q6BIY1	0
Q6BIY6	152780.8438
Q6BIY8	579189.4375
Q6BIZ0	120176.1016
Q6BIZ9	1047709.438
Q6BJ01	655729.4375
Q6BJ02	61966.03516
Q6BJ07	1003082.438
Q6BJ08	11767.00293
Q6BJ09	88436.64063
Q6BJ10	12989.38574
Q6BJ12	147676.2188
Q6BJ14	16424.1543
Q6BJ15	6045672
Q6BJ16	849415.875
Q6BJ17	107476.4766
Q6BJ18	159287.25
Q6BJ20	479098
Q6BJ21	600069.875
Q6BJ23	3826152
Q6BJ24	9166058
Q6BJ25	16740090
Q6BJ27	15591.2959
Q6BJ28	189767.4844
Q6BJ31	1073796.875
Q6BJ32	731573.75
Q6BJ33	20564.02539
Q6BJ34	19832.26953
Q6BJ38	29350.4707
Q6BJ40	219516.8438
Q6BJ43	30992.59375
Q6BJ44	126799.4688
Q6BJ47	94224.80469
Q6BJ49	104653.3594
Q6BJ51	33000.84766
Q6BJ52	32968.39063
Q6BJ53	57465.46875
Q6BJ54	358015
Q6BJ55	17489.93945
Q6BJ57	75898.97656
Q6BJ58	26021.66797
Q6BJ59	46907.73438
Q6BJ60	63007.17188
Q6BJ61	56771.82422
Q6BJ62	43451.99219
Q6BJ63	147185.9531
Q6BJ64	70209.28125
Q6BJ65	20025.01758
Q6BJ66	848434.8125
Q6BJ67	18007.43164
Q6BJ70	58282.14453
Q6BJ73	19677.23633
Q6BJ75	101739.6172
Q6BJ76	68661.46875
Q6BJ77	34876.86719
Q6BJ80	1703590.375
Q6BJ82	1093540.125
Q6BJ85	60199.80859
Q6BJ86	298518.8125
Q6BJ88	419181.5625
Q6BJ89	144601.9531
Q6BJ90	58854.85156
Q6BJ93	190207.4219
Q6BJ95	727672.625
Q6BJ97	37448.37109
Q6BJ98	202264.3594
Q6BJA1	90359.73438
Q6BJA2	441379.0625
Q6BJA3	698464.4375
Q6BJA4	297295.875
Q6BJA5	38698.76953
Q6BJA6	80098.85156
Q6BJA8	87509.6875
Q6BJA9	182305.5156
Q6BJB0	25428.82031
Q6BJB1	13809.44141
Q6BJB2	0
Q6BJB3	1668380.25
Q6BJB4	19369638
Q6BJB5	18287.51367
Q6BJB7	168173.4531
Q6BJC1	0
Q6BJC3	239014.5625
Q6BJC4	65868.91406
Q6BJC5	5602.829102
Q6BJC7	155003.8281
Q6BJD0	13235.55957
Q6BJD3	10695.7998
Q6BJD4	15395.5791
Q6BJD6	111336.2266
Q6BJD7	22240.19727
Q6BJD8	31556.35547
Q6BJE1	36422.08594
Q6BJE2	62269.91797
Q6BJE5	22680.65625
Q6BJE8	4054310.5
Q6BJE9	10803.29492
Q6BJF0	22654.07227
Q6BJF1	1030039.063
Q6BJF3	362748.25
Q6BJF4	294417.0313
Q6BJF5	30575.90234
Q6BJF7	153353.3281
Q6BJG0	294346.375
Q6BJG1	1609108.25
Q6BJG2	13305335
Q6BJG4	354276.9375
Q6BJG5	10343.46289
Q6BJG6	105495.3594
Q6BJG7	79613.25
Q6BJG8	14782.28223
Q6BJG9	128526.6406
Q6BJH0	183819.4219
Q6BJH2	43115.88281
Q6BJH3	208509.4688
Q6BJH4	118604.875
Q6BJH5	597042.25
Q6BJH6	143857.7344
Q6BJH7	90518.42188
Q6BJH8	28694.69336
Q6BJI0	33857.89844
Q6BJI1	503850
Q6BJI2	911759.3125
Q6BJI7	50.70571136
Q6BJI8	1071322.875
Q6BJJ3	141049.7969
Q6BJJ7	78034.07031
Q6BJJ8	59794.97266
Q6BJJ9	0
Q6BJK1	110960.625
Q6BJK7	2286873.5
Q6BJK9	9587.540039
Q6BJL0	2547.344727
Q6BJL1	56412.93359
Q6BJL3	11015.11621
Q6BJL7	2483175
Q6BJM2	177951.6719
Q6BJM4	185219.625
Q6BJM5	29395.50781
Q6BJN0	12901.50684
Q6BJN1	8289.673828
Q6BJN8	40782.43359
Q6BJN9	846498.8125
Q6BJP1	158675.6719
Q6BJP7	226188.8125
Q6BJP8	31006.95117
Q6BJQ1	40019.64844
Q6BJQ3	586525.125
Q6BJQ6	117384.7734
Q6BJQ8	93318.04688
Q6BJQ9	470504.6563
Q6BJR2	207322.2344
Q6BJU2	43440.50781
Q6BJU8	15813.8916
Q6BJV6	2964.31665
Q6BJW9	47182.35547
Q6BJX1	21133.65039
Q6BJX3	25340.3125
Q6BJX4	169677.4219
Q6BJX6	689896.1875
Q6BJX8	297440.7188
Q6BJX9	23637.78516
Q6BJY0	198379.7344
Q6BJY3	47530.74219
Q6BJY4	482251.125
Q6BJY6	31117.47266
Q6BJY8	8579.543945
