ProteinID,Control1,Control4,Control5,KCl2,KCl3,KCl4,NaCl1,NaCl2,NaCl3
Q6BME0_5,8.118162538433206e-11,2.2270707398824354e-10,2.234662808344904e-10,2.384468323162092e-10,3.230945671691471e-10,2.9963172730148557e-10,4.4030186066974047e-10,3.004209687518649e-10,3.490731227967959e-10
Q6BME0_6,5.429592360055227e-11,4.354341106400842e-11,2.6045039724508453e-11,7.464627394743156e-11,2.246238105004149e-11,4.2379798930832075e-11,1.1879945211026508e-10,3.6737387101368933e-11,4.442160975211515e-11
Q6BME0_7,1.8843068038961764e-11,2.625461384806963e-10,4.741075045039673e-11,3.341011013604162e-11,1.1557899763716292e-11,5.379950309864271e-12,2.1358574141352367e-10,1.0868231730747708e-10,6.162097982364619e-11
Q6BME0_8,2.003440052414307e-09,1.549989474823611e-10,1.7469257190703325e-10,1.9693775630159322e-11,5.688383551348493e-11,4.153514361589631e-11,1.985399761069416e-10,0.0,8.971541669086943e-11
Q6BME0_9,0.0,6.723867648914714e-10,6.105389718856436e-10,3.944261673123797e-10,6.065076488480379e-10,4.184540162761795e-10,1.5562825529175216e-09,5.361408202077836e-10,6.805836506258415e-10
Q6BME0_10,0.0,8.2100267297152e-12,3.110487971833068e-11,9.171090623272171e-10,5.164894646618429e-10,9.58887747560635e-11,6.008729109024313e-10,8.788069981142211e-10,1.926211464711735e-10
Q6BME0_11,0.0,0.0,1.544504034693071e-11,1.4682699216223663e-10,1.0260751164295553e-10,1.2621655889377702e-10,1.1567168123803463e-10,1.9685857464826237e-10,6.995575960548941e-11
Q6BME0_12,0.0,5.562169563315112e-10,5.259427534728768e-10,2.344542347308915e-10,4.987570143201536e-10,2.5446210927672667e-10,1.2518724883557118e-09,2.9536037574075153e-10,4.788260173559779e-10
Q6BME0_13,0.0,9.796202589013395e-11,1.3543602218861775e-10,2.9828482894552643e-10,2.1998482173839573e-10,1.9401398840547599e-10,2.8100114001496827e-10,3.294387362852102e-10,2.1867209287075708e-10
Q6BME0_14,0.0,7.738197687378167e-11,5.433846564211206e-11,0.0,6.719326109005016e-11,3.9662102587354716e-11,9.292514030640236e-11,0.0,5.873997332474216e-11
Q6BME2_0,0.0,6.986039513760507e-10,6.592362241777979e-10,8.710473218105683e-10,7.175448406126045e-10,6.153775382090462e-10,8.986268780792771e-10,9.95427108797421e-10,7.977486093935061e-10
Q6BME2_1,0.0,9.780875594640645e-11,9.696714489377071e-11,1.2152746522199227e-10,1.0530131480375091e-10,3.7676240383564424e-10,6.325440631713416e-11,1.1025701712391991e-10,8.448503175792466e-11
Q6BME5_0,0.0,4.283316044482785e-11,4.62431701706045e-11,1.3348216339313475e-11,7.723433149370657e-11,1.8624609037639042e-11,8.057355837251102e-11,7.519287018986307e-11,6.215440947855877e-11
Q6BME6_0,0.0,2.2117701151129245e-10,2.3813874081405686e-10,1.3802162580748165e-10,0.0,0.0,0.0,0.0,0.0
Q6BME6_1,0.0,1.5956137317103195e-10,1.4292417061437263e-10,8.069038789377189e-11,4.330071907837664e-11,3.242250901203494e-10,2.4549522768960695e-11,6.973206413900565e-11,8.476294291652991e-11
Q6BME7_0,0.0,6.011885480821576e-11,5.659947024564625e-11,1.2861825500107467e-11,6.338512152163893e-11,2.579514126953411e-11,3.644468613466482e-11,0.0,4.0199603422143746e-11
Q6BMF0_0,1.1925250614167664e-10,5.955840597874282e-11,4.781859376777174e-11,2.846091031951699e-11,4.562407028492265e-11,1.616900426878466e-11,1.0662223729746691e-10,5.886793229008805e-11,5.0399597381358705e-11
Q6BMF0_1,0.0,5.1879449649015135e-11,5.0350827908526696e-11,8.67528383270789e-11,6.850909802492864e-11,0.0,1.504202122301723e-10,6.637614610776245e-11,6.095985467417437e-11
Q6BMF1_0,0.0,7.086035465551424e-11,9.828163184417606e-11,4.0028058038881664e-14,1.662046725215942e-14,9.922054942108516e-12,0.0,0.0,7.628713889409944e-11
Q6BMF1_1,0.0,4.695884744362055e-10,0.0,3.926718843375041e-10,3.1518457673208027e-10,2.4668100857691705e-10,3.217288223977977e-10,0.0,2.6638458073530804e-10
Q6BMF1_2,0.0,2.3879888866671985e-10,1.8784888257818585e-10,0.0,0.0,0.0,0.0,0.0,1.1571612516010575e-10
Q6BMF1_3,0.0,8.383141138739347e-10,8.686012393106999e-10,0.0,1.3603444852565702e-10,0.0,6.184021430378399e-10,0.0,1.5650023724149732e-10
Q6BMF1_4,0.0,1.0699085364626848e-08,1.0464992724580758e-08,2.9463672985910178e-09,4.539201372515893e-09,0.0,4.721270620598628e-09,3.3540562918640537e-09,3.858310290608081e-09
Q6BMF1_5,0.0,0.0,5.105124093469392e-10,0.0,0.0,0.0,0.0,0.0,0.0
Q6BMF1_6,0.0,9.403249785193289e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6BMF1_7,8.42605011613246e-10,7.336999445877024e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6BMF1_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.502823148257227e-10
Q6BMF1_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0224010455765753e-10
Q6BMF1_10,0.0,8.347877298609009e-11,5.063646661286168e-11,1.7253547621641117e-11,7.171616349091739e-11,0.0,7.371467935966904e-11,0.0,1.1374510990919387e-10
Q6BMF2_0,0.0,0.0,0.0,5.634835155904186e-10,0.0,0.0,0.0,7.698526808781433e-10,0.0
Q6BMF6_0,0.0,1.642562263777216e-10,2.1211740425443273e-10,2.0553100866506335e-10,9.593123924710789e-11,0.0,1.8149472367330078e-10,2.1255213343209652e-10,1.361386811162782e-10
Q6BMF7_0,0.0,4.674015814818347e-10,3.0000046182547117e-10,4.813651716493554e-10,2.1516592301920648e-10,1.6860196609690699e-09,1.319872824079919e-10,2.757831774137122e-10,2.873033781319376e-10
Q6BMF7_1,0.0,6.218579876113803e-11,0.0,0.0,4.502577854433336e-11,2.7350167088125696e-10,0.0,0.0,0.0
Q6BMF7_2,0.0,3.770944735507131e-09,3.010809626715476e-09,3.911682389041253e-09,1.820604060863189e-09,5.783227032234581e-09,1.3566327536035924e-09,2.3649090456907724e-09,2.113508565330151e-09
Q6BMF7_3,0.0,0.0,0.0,0.0,3.81926300706226e-10,0.0,0.0,0.0,0.0
Q6BMH1_0,0.0,5.581241945959427e-09,5.312052380097572e-09,4.316221391025293e-09,6.289549246771885e-09,1.268441190680444e-08,5.4823406905462646e-09,4.9142535727071955e-09,5.617254918987495e-09
Q6BMH1_1,0.0,7.233483089281289e-09,6.092982221985329e-09,6.325796992374659e-09,4.620887609260295e-09,5.131824323589254e-09,4.3359544886192755e-09,4.326273794792011e-09,4.711619703494678e-09
Q6BMH2_0,0.0,4.6481863215221864e-10,4.688108309419083e-10,1.4504554467229079e-09,7.791603769522712e-10,1.5705216307037364e-09,3.7252693380828084e-10,6.521270123670541e-10,6.753840286062356e-10
Q6BMH2_1,0.0,0.0,0.0,1.237511443341087e-09,8.750477821900648e-10,0.0,3.49515463662106e-10,1.0292259236080088e-09,0.0
Q6BMH4_0,1.3890384229943462e-09,4.263815962799236e-09,4.0592505883132935e-09,5.53535160068883e-09,5.14848219126709e-09,6.139603763121304e-09,4.066137863801808e-09,4.630882186335367e-09,5.186078380700378e-09
Q6BMH4_1,0.0,0.0,0.0,0.0,0.0,7.52570103858354e-10,0.0,0.0,9.391727841966673e-11
Q6BMI2_0,0.0,7.929034205050813e-10,7.029201366202316e-10,0.0,5.359240432073232e-10,2.432727717523794e-10,0.0,0.0,0.0
Q6BMI2_1,6.193344214710928e-10,1.040736568949257e-09,8.357269114223249e-10,1.1457156659967221e-09,8.098795754828833e-10,9.083276594645696e-10,5.883362198303843e-10,6.75046194323501e-10,6.723783599287959e-10
Q6BMI2_2,0.0,7.91345931955364e-10,9.999952161541508e-10,0.0,1.4993022439594618e-09,0.0,1.0494757138736697e-09,0.0,1.1928895203362534e-09
