ProteinID	Control1
B5RUY8	0
B5RUY8	0
B5RUY8	0
B5RUZ2	939821.875
B5RUZ2	0
B5RUZ2	0
B5RUZ2	0
B5RUZ2	0
B5RUZ2	0
B5RUZ2	0
B5RUZ2	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	387552.8438
B5RV01	883570.3125
B5RV01	0
B5RV01	0
B5RV01	326863.1563
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	1130681.875
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV01	0
B5RV09	0
B5RV09	0
B5RV13	0
B5RV13	0
B5RV16	0
B5RV16	0
B5RV16	0
B5RV18	0
B5RV18	734704.4375
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	446478.5625
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV18	0
B5RV20	0
B5RV20	0
B5RV20	0
B5RV20	0
B5RV21	35215764
B5RV25	556377.0625
B5RV25	268376.375
B5RV25	0
B5RV25	1439493.5
B5RV25	0
B5RV25	0
B5RV25	90651.98438
B5RV25	0
B5RV25	0
B5RV26	0
B5RV31	0
B5RV34	0
B5RV34	0
B5RV34	0
B5RV34	117081.4063
B5RV34	0
B5RV34	0
B5RV34	0
B5RV45	0
B5RV46	3853033.75
B5RV46	0
B5RV46	0
B5RV49	3414318.5
B5RV49	0
B5RV51	0
B5RV52	0
B5RV52	0
B5RV55	0
B5RV55	0
B5RV55	0
B5RV55	0
B5RV55	0
B5RV56	0
B5RV56	0
B5RV56	0
B5RV56	0
B5RV56	0
B5RV56	0
B5RV58	328400.1875
B5RV58	0
B5RV59	0
B5RV59	0
B5RV59	0
O42724	0
O42724	0
Q6B458	0
Q6B4U7	0
Q6B4U7	0
Q6BGQ1	975698.375
Q6BGQ1	485366.875
Q6BGQ1	0
Q6BGQ1	11398.63574
Q6BGQ1	0
Q6BGQ1	0
Q6BGQ1	0
Q6BGQ6	0
Q6BGQ6	0
Q6BGQ6	226594.5625
Q6BGQ6	0
Q6BGQ7	0
Q6BGR3	0
Q6BGR3	0
Q6BGR5	229474.2031
Q6BGR5	0
Q6BGR8	7523116.5
Q6BGR8	961505.8125
Q6BGR8	320710.5625
Q6BGR8	0
Q6BGR8	0
Q6BGR9	0
Q6BGR9	0
Q6BGR9	0
Q6BGR9	0
Q6BGR9	0
Q6BGR9	0
Q6BGS5	1687540
Q6BGS5	0
Q6BGS5	0
Q6BGS6	1191097.625
Q6BGS6	105350.7344
Q6BGS6	0
Q6BGT0	0
Q6BGT0	0
Q6BGT0	0
Q6BGT2	0
Q6BGT5	0
Q6BGT5	0
Q6BGT5	0
Q6BGT5	0
Q6BGT5	0
Q6BGT5	1163361.125
Q6BGT5	0
Q6BGT9	208185.5938
Q6BGT9	0
Q6BGU1	0
Q6BGU1	0
Q6BGU1	0
Q6BGU2	120.0017929
Q6BGU2	780706.5
Q6BGU2	0
