GeneID	logFC	logCPM	F	PValue	FDR
gene-DEHA2C07018g	-0.963652669176906	8.21824040883436	45.7536564246909	7.17119272195604e-05	0.00415969737821248
gene-DEHA2B09790g	-2.94340044374377	2.48435925968181	45.9633378617341	7.19381518270972e-05	0.00415969737821248
gene-DEHA2B00374g	1.36660376789896	4.18271110623106	45.7597147272262	7.22480485302813e-05	0.00415969737821248
gene-DEHA2F03542g	-1.40041817349943	6.90815038583021	45.8053256094933	7.29125312845985e-05	0.00416113095208419
gene-DEHA2A06336g	-0.916788508128542	6.37019220737824	44.8094929044878	7.85410125709237e-05	0.00442577197866136
gene-DEHA2C13662g	-0.910550026630337	7.79813469615969	44.6196581709797	7.89101674646047e-05	0.00442577197866136
gene-DEHA2G04268g	1.13205332995553	9.50662712338961	44.3045627599653	8.11238471611056e-05	0.00451104059512951
gene-DEHA2G10978g	1.61230668487499	8.37905416134073	44.4070322753272	8.22746891271647e-05	0.0045362637920452
gene-DEHA2A00352g	1.36199204699762	4.96946894278905	43.8668273854094	8.55597489873291e-05	0.00467774560429885
gene-DEHA2D01188g	4.20119661230573	7.1344758402443	44.0683613083499	8.65322169065772e-05	0.0046914883599516
gene-DEHA2B09724g	-1.29568525703164	7.46573355196898	43.4103078748923	8.98510096227068e-05	0.00483116255045728
gene-DEHA2C00396g	-2.47485359117092	3.47735672430244	42.6856854167643	9.58965826554879e-05	0.00511396038325085
gene-DEHA2G05082g	1.91235704160942	11.6132527441003	42.3949562889104	9.76581463793563e-05	0.00516556016539912
gene-DEHA2G06402g	-1.86299667763618	1.65542356562022	41.8632120787167	0.00010210995710018	0.00532247402801364
gene-DEHA2C06292g	3.42758168288438	8.25580708733819	42.1896567266647	0.000102357928263093	0.00532247402801364
gene-DEHA2F04202g	-1.0317021303925	7.27239600636555	41.8058061871575	0.000103078962116465	0.00532247402801364
gene-DEHA2A00374g	1.66714794686794	3.62753876276472	41.2786046758634	0.000108243173938192	0.00547782088527158
gene-DEHA2F01584g	-0.745663844512227	6.63496916175698	41.0706067366003	0.000108846713166011	0.00547782088527158
gene-DEHA2E12914g	0.907668993917037	6.8349699917111	41.218643893792	0.000108850245991279	0.00547782088527158
gene-DEHA2E10274g	-1.24504778701881	5.92555101694554	41.1592813781919	0.00010945538196823	0.00547782088527158
gene-DEHA2B14586g	-1.38329451569748	1.61960753978049	40.922893744772	0.000110368499460838	0.00548135463734511
