Geneid	RNA STAR on Control1: mapped.bam
gene-DEHA2A09218g	3720
gene-DEHA2A09240g	8200
gene-DEHA2A09262g	2591
gene-DEHA2A09284g	4239
gene-DEHA2A09306g	47679
gene-DEHA2A09328g	8886
gene-DEHA2A09350g	3206
gene-DEHA2A09372g	4912
gene-DEHA2A09394g	18528
gene-DEHA2A09416g	2453
gene-DEHA2A09438g	7286
gene-DEHA2A09460g	11497
gene-DEHA2A09482g	7253
gene-DEHA2A09504g	3241
gene-DEHA2A09526g	13011
gene-DEHA2A09548g	643
gene-DEHA2A09570g	3463
gene-DEHA2A09592g	8707
gene-DEHA2A09614g	1643
gene-DEHA2A09636g	3319
gene-DEHA2A09658g	5164
gene-DEHA2A09680g	15190
gene-DEHA2A09702g	681
gene-DEHA2A09724g	834
gene-DEHA2A09746g	1866
gene-DEHA2A09768g	8015
gene-DEHA2A09790g	6037
gene-DEHA2A09812g	2911
gene-DEHA2A09834g	2859
gene-DEHA2A09856g	4759
gene-DEHA2A09878g	1263
gene-DEHA2A09900g	915
gene-DEHA2A09922g	1358
gene-DEHA2A09944g	1542
gene-DEHA2A09966g	6172
gene-DEHA2A09988g	3024
gene-DEHA2A10010g	12092
gene-DEHA2A10032g	6533
gene-DEHA2A10054g	1414
gene-DEHA2A10076g	1905
gene-DEHA2A10098g	3522
gene-DEHA2A10120g	2892
gene-DEHA2A10142g	4286
gene-DEHA2A10164g	3468
gene-DEHA2A10186g	6714
gene-DEHA2A10208g	3619
gene-DEHA2A10230g	2806
gene-DEHA2A10252g	5934
gene-DEHA2A10274g	5188
gene-DEHA2A10296g	6642
gene-DEHA2A10318g	2483
gene-DEHA2A10340g	7120
gene-DEHA2A10362g	457
gene-DEHA2A10384g	10047
gene-DEHA2A10406g	5883
gene-DEHA2A10428g	4092
gene-DEHA2A10450g	5148
gene-DEHA2A10472g	1410
gene-DEHA2A10494g	4030
gene-DEHA2A10516g	22717
gene-DEHA2A10538g	29879
gene-DEHA2A10560g	3760
gene-DEHA2A10582g	2936
gene-DEHA2A10604g	528
gene-DEHA2A10626g	4756
gene-DEHA2A10648g	4623
gene-DEHA2A10670g	4676
gene-DEHA2A10692r	0
gene-DEHA2A10714g	1521
gene-DEHA2A10736g	321
gene-DEHA2A10758g	9999
gene-DEHA2A10780g	7897
gene-DEHA2A10802g	2034
gene-DEHA2A10824g	3892
gene-DEHA2A10846g	1913
gene-DEHA2A10868g	4238
gene-DEHA2A10890g	2975
gene-DEHA2A10912g	4123
gene-DEHA2A10934g	2770
gene-DEHA2A10956g	13326
gene-DEHA2A10978g	6282
gene-DEHA2A11000g	1428
gene-DEHA2A11022g	230
gene-DEHA2A11044g	55024
gene-DEHA2A11066g	4418
gene-DEHA2A11088g	1804
gene-DEHA2A11110g	5739
gene-DEHA2A11132g	1666
gene-DEHA2A11154g	39
gene-DEHA2A11176g	1
gene-DEHA2A11198g	40279
gene-DEHA2A11220g	5085
gene-DEHA2A11242g	6160
gene-DEHA2A11264g	1315
gene-DEHA2A11286g	1698
gene-DEHA2A11308g	5322
gene-DEHA2A11330g	40
gene-DEHA2A11352g	1819
gene-DEHA2A11374g	8954
gene-DEHA2A11396g	3438
gene-DEHA2A11418g	2257
gene-DEHA2A11440g	5054
gene-DEHA2A11462g	1880
gene-DEHA2A11484g	47
gene-DEHA2A11506g	11152
gene-DEHA2A11528g	7617
gene-DEHA2A11550g	3299
gene-DEHA2A11572g	4971
gene-DEHA2A11594g	3139
gene-DEHA2A11616g	3183
gene-DEHA2A11638g	3647
gene-DEHA2A11660g	15120
gene-DEHA2A11682g	537
gene-DEHA2A11704g	1524
gene-DEHA2A11726r	0
gene-DEHA2A11748r	0
gene-DEHA2A11770r	2
gene-DEHA2A11792g	4830
gene-DEHA2A11814g	4034
gene-DEHA2A11836g	3389
gene-DEHA2A11858g	9447
gene-DEHA2A11880g	2387
gene-DEHA2A11902g	4472
gene-DEHA2A11924g	1558
gene-DEHA2A11946g	6783
gene-DEHA2A11968g	3764
gene-DEHA2A11990g	818
gene-DEHA2A12012g	2090
gene-DEHA2A12034g	2352
gene-DEHA2A12056g	5003
gene-DEHA2A12078g	1721
gene-DEHA2A12100g	8598
gene-DEHA2A12122g	3531
gene-DEHA2A12144g	19558
gene-DEHA2A12166g	3111
gene-DEHA2A12188g	34
gene-DEHA2A12210g	7663
gene-DEHA2A12232g	2211
gene-DEHA2A12254g	1363
gene-DEHA2A12276g	5919
gene-DEHA2A12298g	2092
gene-DEHA2A12320g	12
gene-DEHA2A12342g	78
gene-DEHA2A12364g	229
gene-DEHA2A12386g	12
gene-DEHA2A12408g	2
gene-DEHA2A12430g	7467
gene-DEHA2A12452g	2289
gene-DEHA2A12474g	2850
gene-DEHA2A12496g	6778
gene-DEHA2A12518g	2309
gene-DEHA2A12540g	25804
gene-DEHA2A12562g	673
gene-DEHA2A12584g	1387
gene-DEHA2A12606g	6597
gene-DEHA2A12628g	5753
gene-DEHA2A12650g	2305
gene-DEHA2A12672g	5866
gene-DEHA2A12694g	3011
gene-DEHA2A12716g	5
gene-DEHA2A12738g	3504
gene-DEHA2A12760g	1106
gene-DEHA2A12782g	11638
gene-DEHA2A12804g	2617
gene-DEHA2A12826g	1758
gene-DEHA2A12848g	2787
gene-DEHA2A12870g	4818
gene-DEHA2A12892g	3438
gene-DEHA2A12914g	1781
gene-DEHA2A12936g	13737
gene-DEHA2A12958g	8198
gene-DEHA2A12980g	2651
gene-DEHA2A13002g	3016
gene-DEHA2A13024g	2250
gene-DEHA2A13046g	2622
gene-DEHA2A13068g	11
gene-DEHA2A13090g	5512
gene-DEHA2A13112g	4599
gene-DEHA2A13134g	4245
gene-DEHA2A13156g	3233
gene-DEHA2A13178g	484
gene-DEHA2A13200g	66809
gene-DEHA2A13222g	318
gene-DEHA2A13244g	2538
gene-DEHA2A13266g	5105
gene-DEHA2A13288g	10016
gene-DEHA2A13310g	2852
gene-DEHA2A13332g	792
gene-DEHA2A13354g	925
gene-DEHA2A13376g	1125
gene-DEHA2A13398g	2642
gene-DEHA2A13420g	16374
gene-DEHA2A13442g	2735
gene-DEHA2A13464g	1690
gene-DEHA2A13486g	2226
gene-DEHA2A13508g	1388
gene-DEHA2A13530g	2275
gene-DEHA2A13552g	1499
gene-DEHA2A13574g	5812
gene-DEHA2A13596g	1661
gene-DEHA2A13618g	41294
gene-DEHA2A13640g	7702
gene-DEHA2A13662g	5780
gene-DEHA2A13684g	5968
gene-DEHA2A13706g	1928
gene-DEHA2A13728g	1595
gene-DEHA2A13750g	5524
gene-DEHA2A13772g	2121
gene-DEHA2A13794g	3021
gene-DEHA2A13816g	1377
gene-DEHA2A13838g	2763
gene-DEHA2A13860g	4470
gene-DEHA2A13882g	681
gene-DEHA2A13904g	6675
gene-DEHA2A13926g	3610
gene-DEHA2A13948g	1009
gene-DEHA2A13970g	5350
gene-DEHA2A13992g	4230
gene-DEHA2A14014g	14236
gene-DEHA2A14036g	7536
gene-DEHA2A14058g	12357
gene-DEHA2A14080g	1918
gene-DEHA2A14102g	871
gene-DEHA2A14124g	3286
gene-DEHA2A14146g	1982
gene-DEHA2A14168g	10573
gene-DEHA2A14190g	2064
gene-DEHA2A14212g	5415
gene-DEHA2A14234g	950
gene-DEHA2A14256g	3388
gene-DEHA2A14278g	1169
gene-DEHA2A14300g	398
gene-DEHA2A14322g	34
gene-DEHA2A14344g	132
gene-DEHA2A14366g	6924
gene-DEHA2A14388g	6107
gene-DEHA2A14410g	6394
gene-DEHA2A14498g	0
gene-DEHA2A14520g	15
gene-DEHA2A14542g	1656
gene-DEHA2A14586g	2944
gene-DEHA2A14608g	1669
gene-DEHA2A14630g	25
gene-DEHA2A14652g	534
gene-DEHA2A14674g	0
gene-DEHA2A14696g	2809
gene-DEHA2A14718g	2662
gene-DEHA2A14740g	377
gene-DEHA2A14762g	16
gene-DEHA2A14784g	1
gene-DEHA2A14806g	0
gene-DEHA2A14828g	0
gene-DEHA2B00110g	19651
gene-DEHA2B00132g	18942
gene-DEHA2B00154g	0
gene-DEHA2B00176g	0
gene-DEHA2B00198g	14
gene-DEHA2B00220g	248
gene-DEHA2B00242g	1
gene-DEHA2B00264g	0
gene-DEHA2B00286g	4
gene-DEHA2B00308g	30
gene-DEHA2B00330g	2
gene-DEHA2B00352g	98
gene-DEHA2B00374g	200
gene-DEHA2B00396g	1624
gene-DEHA2B00418g	362
gene-DEHA2B00440g	27
gene-DEHA2B00462g	32
gene-DEHA2B00484g	31
gene-DEHA2B00506g	489
gene-DEHA2B00528g	1770
gene-DEHA2B00550g	459
gene-DEHA2B00572g	30
gene-DEHA2B00594g	840
gene-DEHA2B00616g	988
gene-DEHA2B00638g	3174
gene-DEHA2B00660g	3575
gene-DEHA2B00682g	4464
gene-DEHA2B00704g	1816
gene-DEHA2B00726g	2462
gene-DEHA2B00748g	1421
gene-DEHA2B00770g	1994
gene-DEHA2B00792g	2218
gene-DEHA2B00814g	16933
gene-DEHA2B00836g	34
gene-DEHA2B00858g	10429
gene-DEHA2B00880g	134
gene-DEHA2B00902g	12923
gene-DEHA2B00924g	3270
gene-DEHA2B00946g	6149
gene-DEHA2B00968g	5706
gene-DEHA2B00990g	310
gene-DEHA2B01012g	10269
gene-DEHA2B01034r	10
gene-DEHA2B01056g	13
gene-DEHA2B01078g	205
gene-DEHA2B01100g	2410
gene-DEHA2B01122g	4663
gene-DEHA2B01144g	6639
gene-DEHA2B01166g	32
gene-DEHA2B01188g	11
gene-DEHA2B01210g	17253
gene-DEHA2B01232g	8716
gene-DEHA2B01254g	8495
gene-DEHA2B01276g	1863
gene-DEHA2B01298g	1934
gene-DEHA2B01320g	3587
gene-DEHA2B01342g	4369
gene-DEHA2B01364g	1454
gene-DEHA2B01386g	6345
gene-DEHA2B01408g	713
gene-DEHA2B01430g	25476
gene-DEHA2B01452g	5380
gene-DEHA2B01474g	3532
gene-DEHA2B01496g	3150
gene-DEHA2B01518g	6454
gene-DEHA2B01540g	2652
gene-DEHA2B01562g	2081
gene-DEHA2B01584g	2985
gene-DEHA2B01606g	428
gene-DEHA2B01628g	2368
gene-DEHA2B01650g	2394
gene-DEHA2B01672g	5601
gene-DEHA2B01694g	3523
gene-DEHA2B01716g	11261
gene-DEHA2B01738g	7305
gene-DEHA2B01760g	5295
gene-DEHA2B01782g	1373
gene-DEHA2B01804g	19777
gene-DEHA2B01826g	3927
gene-DEHA2B01848g	15
gene-DEHA2B01870g	6757
gene-DEHA2B01892g	1604
gene-DEHA2B01914g	3315
gene-DEHA2B01936g	1019
gene-DEHA2B01958g	8176
gene-DEHA2B01980g	19
gene-DEHA2B02002g	52
gene-DEHA2B02024g	2782
gene-DEHA2B02046g	2389
gene-DEHA2B02068g	1844
gene-DEHA2B02090g	5696
gene-DEHA2B02112g	679
gene-DEHA2B02134g	725
gene-DEHA2B02156g	3872
gene-DEHA2B02178g	7520
gene-DEHA2B02200g	3114
gene-DEHA2B02222g	2109
gene-DEHA2B02244g	2320
gene-DEHA2B02266g	1346
gene-DEHA2B02288g	1172
gene-DEHA2B02310g	125
gene-DEHA2B02332g	1240
gene-DEHA2B02354g	131
gene-DEHA2B02376g	9353
gene-DEHA2B02398g	381
gene-DEHA2B02420g	15235
gene-DEHA2B02442g	3866
gene-DEHA2B02464g	1284
gene-DEHA2B02486g	2923
gene-DEHA2B02508g	1460
gene-DEHA2B02530g	2265
gene-DEHA2B02552g	9700
gene-DEHA2B02574g	10988
gene-DEHA2B02596g	6482
gene-DEHA2B02618g	4657
gene-DEHA2B02640g	3007
gene-DEHA2B02662r	9
gene-DEHA2B02684g	2452
gene-DEHA2B02706g	2335
gene-DEHA2B02728g	1495
gene-DEHA2B02750g	11093
gene-DEHA2B02772g	16376
gene-DEHA2B02794g	1096
gene-DEHA2B02816g	1046
gene-DEHA2B02838g	4158
gene-DEHA2B02860g	20
gene-DEHA2B02882g	4734
gene-DEHA2B02904g	49296
gene-DEHA2B02926g	1837
gene-DEHA2B02948g	2318
gene-DEHA2B02970g	1889
gene-DEHA2B02992g	1590
gene-DEHA2B03014g	11715
gene-DEHA2B03036g	3069
gene-DEHA2B03058g	10929
gene-DEHA2B03080r	0
gene-DEHA2B03102g	3369
gene-DEHA2B03124g	2122
gene-DEHA2B03146g	3464
gene-DEHA2B03168g	608
gene-DEHA2B03190g	6687
gene-DEHA2B03212g	2308
gene-DEHA2B03234g	1756
gene-DEHA2B03256g	7946
gene-DEHA2B03278g	3935
gene-DEHA2B03300g	1001
gene-DEHA2B03322g	3785
gene-DEHA2B03344g	2329
gene-DEHA2B03366g	8842
gene-DEHA2B03388g	2027
gene-DEHA2B03410g	8508
gene-DEHA2B03432g	917
gene-DEHA2B03454g	7976
gene-DEHA2B03476g	1102
gene-DEHA2B03498g	11
gene-DEHA2B03520g	3792
gene-DEHA2B03542g	949
gene-DEHA2B03564g	3492
gene-DEHA2B03586g	8994
gene-DEHA2B03608g	10
gene-DEHA2B03630g	21359
gene-DEHA2B03652g	10484
gene-DEHA2B03674g	926
gene-DEHA2B03696g	3768
gene-DEHA2B03718g	22680
gene-DEHA2B03740g	3662
gene-DEHA2B03762g	1621
gene-DEHA2B03784g	3099
gene-DEHA2B03806g	6620
gene-DEHA2B03828g	9831
gene-DEHA2B03850g	399
gene-DEHA2B03872g	1045
gene-DEHA2B03894g	5404
gene-DEHA2B03916g	310
gene-DEHA2B03938g	10196
gene-DEHA2B03960g	5064
gene-DEHA2B03982g	3037
gene-DEHA2B04004g	2866
gene-DEHA2B04048g	4087
gene-DEHA2B04070g	5190
gene-DEHA2B04092g	2108
gene-DEHA2B04114g	391
gene-DEHA2B04136g	2746
gene-DEHA2B04158g	1133
gene-DEHA2B04180g	21743
gene-DEHA2B04202g	6384
gene-DEHA2B04224g	2336
gene-DEHA2B04246g	2038
gene-DEHA2B04268g	4285
gene-DEHA2B04290g	86
gene-DEHA2B04312g	12157
gene-DEHA2B04334g	2943
gene-DEHA2B04356g	2618
gene-DEHA2B04378g	2975
gene-DEHA2B04400g	2316
gene-DEHA2B04422g	1309
gene-DEHA2B04444g	330
gene-DEHA2B04466g	2998
gene-DEHA2B04488g	3422
gene-DEHA2B04510g	6
gene-DEHA2B04532g	5591
gene-DEHA2B04554g	4517
gene-DEHA2B04576g	1650
gene-DEHA2B04598g	1134
gene-DEHA2B04620g	13535
gene-DEHA2B04642g	6748
gene-DEHA2B04664g	3342
gene-DEHA2B04686g	21467
gene-DEHA2B04708g	6040
gene-DEHA2B04730g	9006
gene-DEHA2B04752g	5104
gene-DEHA2B04774g	4196
gene-DEHA2B04796g	7066
gene-DEHA2B04818g	2795
gene-DEHA2B04840r	0
gene-DEHA2B04862g	174
gene-DEHA2B04884g	3682
gene-DEHA2B04906g	19718
gene-DEHA2B04928g	5046
gene-DEHA2B04950g	6384
gene-DEHA2B04972g	9286
gene-DEHA2B04994g	6782
gene-DEHA2B05016g	2115
gene-DEHA2B05038g	5587
gene-DEHA2B05060g	3135
gene-DEHA2B05082g	1942
gene-DEHA2B05104g	10546
gene-DEHA2B05126g	5216
gene-DEHA2B05148g	1451
gene-DEHA2B05170g	3894
gene-DEHA2B05192g	2563
gene-DEHA2B05214g	593
gene-DEHA2B05236g	5042
gene-DEHA2B05258g	2750
gene-DEHA2B05280g	1701
gene-DEHA2B05302g	1655
gene-DEHA2B05324r	1
gene-DEHA2B05346r	0
gene-DEHA2B05368g	2555
gene-DEHA2B05390g	20600
