category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha00563	1	0.0961599863099081	0	22	1	0.602715794964251
dha00590	1	0.726318384193849	0	3	1	1
dha00603	1	0.808146254585407	0	2	1	1
dha00604	1	0.808054686501567	0	2	1	1
dha00650	1	0.224320739464409	0	14	1	0.747735798214697
dha00670	1	0.251582112778733	0	13	1	0.779643420798581
dha00730	1	0.280098277993779	0	12	1	0.781669613005894
dha00750	1	0.385668692086399	0	9	1	0.978698281880537
dha00770	1	0.0958237173940367	0	22	1	0.602715794964251
dha00780	1	0.587690905907303	0	5	1	1
dha00785	1	0.727166055453864	0	3	1	1
dha00791	1	0.809709636528641	0	2	1	1
dha00860	1	0.16401222410849	0	17	1	0.634886028807058
dha00909	1	0.80809473570747	0	2	1	1
dha00910	1	0.426982046910154	0	8	1	1
dha00920	1	0.250913726121058	0	13	1	0.779643420798581
dha01501	1	0.898942127969257	0	1	1	1
dha03030	1	0.0328234742871531	0	32	1	0.480468433697536
dha03050	1	0.0217774253724024	0	36	1	0.435548507448048
dha03410	1	0.132078675997311	0	19	1	0.602715794964251
dha03420	1	0.0172658520943953	0	38	1	0.414380450265488
dha03430	1	0.118767412799211	0	20	1	0.602715794964251
dha03440	1	0.119426445460921	0	20	1	0.602715794964251
dha03450	1	0.473979738891254	0	7	1	1
dha04070	1	0.0958633731316456	0	22	1	0.602715794964251
dha04130	1	0.135611053866956	0	19	1	0.602715794964251
dha04136	1	0.0960472751839713	0	22	1	0.602715794964251
dha04144	1	0.000488749316856021	0	71	1	0.0293249590113613
